urs,sequence_length,model_source,diagram_sequence_start,diagram_sequence_stop,diagram_bps,diagram_model_start,diagram_model_stop,model_length,model_basepair_count,diagram_overlap_count,label,prediction
URS0000B5D425,2901,ribovision,2,2896,765,4,2923,2925,772,3,1,1
URS0000B5DAD9,5822,crw,5218,5819,43,2,604,1165,85,5,0,1
URS0000B5FE03,562,ribovision,2,437,106,461,892,4123,1087,10,0,0
URS0000B60FDE,754,ribovision,102,753,165,1119,1779,5227,1553,17,0,0
URS0000B61D10,2839,ribovision,11,2833,719,12,2922,2925,772,3,1,1
URS0000B66C23,965,ribovision,301,954,210,1277,1991,5227,1553,16,0,0
URS0000B680B5,2913,ribovision,8,2893,854,1,2902,2904,860,5,1,1
URS0000B68C54,172,ribovision,2,156,31,3,157,5227,1553,0,0,0
URS0000B6A17A,139,ribovision,2,137,20,20,154,5227,1553,0,0,0
URS0000B6B6DA,3113,ribovision,2,3103,898,4,3134,3137,912,19,1,1
URS0000B6C6DC,2919,ribovision,3,2907,791,21,2897,3048,847,11,1,1
URS0000B6DCB4,964,ribovision,298,953,227,1274,1991,5227,1553,15,0,0
URS0000B6E80E,1340,ribovision,639,1293,303,786,1468,1559,373,3,1,1
URS0000B6FB11,2933,ribovision,5,2927,769,2,2923,2925,772,3,1,1
URS0000B6FC8A,3106,ribovision,2,3097,895,2,3134,3137,912,19,1,1
URS0000B72FE7,2019,ribovision,1,2018,522,212,2341,3555,1065,18,1,1
URS0000B73B54,102,ribovision,1,81,17,2821,2901,2904,860,0,0,0
URS0000B75557,3099,ribovision,2,3092,891,4,3136,3137,912,19,1,1
URS0000B75D18,773,ribovision,1,106,2,493,599,4123,1087,0,0,0
URS0000B77223,530,ribovision,23,487,106,354,818,4123,1087,2,0,0
URS0000B7850B,104,ribovision,8,101,26,2792,2885,2911,868,0,0,0
URS0000B79597,2247,ribovision,2,2241,586,678,2923,2925,772,0,1,1
URS0000B7AFD1,3109,ribovision,3,3109,843,3,3137,3137,912,20,1,1
URS0000B7C6E6,117,ribovision,27,117,4,2,92,3120,899,1,0,0
URS0000B8083E,2927,ribovision,10,2915,860,1,2904,2904,860,2,1,1
URS0000B81C02,164,ribovision,1,160,23,2,160,3551,1009,0,0,0
URS0000B81D7D,163,ribovision,3,163,21,1,160,3551,1009,0,0,0
URS0000B83A4B,2899,ribovision,1,2899,882,5,2922,2922,891,12,1,1
URS0000B86ACE,1443,ribovision,3,1439,369,1407,2924,2925,772,0,1,1
URS0000B8C1DA,88,ribovision,2,75,17,2830,2903,2904,860,0,0,0
URS0000B8CAC7,772,ribovision,423,772,164,1423,1782,5227,1553,10,0,0
URS0000B8F92A,292,ribovision,2,292,82,516,806,1542,507,0,0,0
URS0000B94FE3,3150,ribovision,26,3138,886,2,3117,3120,899,13,1,1
URS0000B95E6B,1170,ribovision,1,1169,276,144,1383,1559,373,3,1,1
URS0000B9C296,3071,ribovision,12,3057,886,11,3109,3120,899,11,1,1
URS0000B9CB81,3133,ribovision,9,3120,888,3,3117,3120,899,13,1,1
URS0000B9E8CD,743,ribovision,306,742,165,1290,1762,5227,1553,12,0,0
URS0000B9EF19,1440,ribovision,1,1436,367,1405,2924,2925,772,0,1,1
URS0000BA0524,527,ribovision,176,369,40,1,189,3555,1065,0,0,0
URS0000BA2535,529,ribovision,23,489,102,354,840,4123,1087,2,0,0
URS0000BA3F13,883,ribovision,393,883,207,787,1317,1559,373,1,0,0
URS0000BA3F17,2934,ribovision,2,2930,772,1,2924,2925,772,3,1,1
URS0000BA7262,3136,ribovision,8,3131,889,3,3119,3120,899,13,1,1
URS0000BA73CE,1648,ribovision,1,1630,460,1569,3311,3554,1065,7,1,1
URS0000BA7D2D,778,ribovision,32,778,154,1200,1811,5227,1553,9,0,0
URS0000BAA61E,3344,ribovision,2,3343,953,166,3531,3554,1065,22,1,1
URS0000BAB8A7,3105,ribovision,2,3104,897,5,3132,3137,912,19,1,1
URS0000BB0B31,3089,ribovision,2,3082,890,2,3134,3137,912,12,1,1
URS0000BB5BC1,619,ribovision,18,611,139,221,817,1559,373,2,0,0
URS0000BB7A36,758,ribovision,238,757,181,1234,1778,5227,1553,14,0,0
URS0000BB9333,763,ribovision,4,107,2,495,599,4123,1087,0,0,0
URS0000BBAC8B,756,ribovision,104,752,187,1119,1775,5227,1553,12,0,0
URS0000BBE8BD,2873,ribovision,12,2868,748,10,2918,2921,776,4,1,1
URS0000BC36B0,2959,ribovision,1,2959,815,13,2991,3048,847,14,1,1
URS0000BCA93F,125,rfam,47,120,20,55,129,134,37,0,1,0
URS0000BCDEC0,128,rfam,1,120,23,1,92,98,23,0,1,0
URS0000BD1D98,115,crw,25,111,30,29,115,120,31,0,1,0
URS0000BD5B35,122,crw,6,92,35,6,93,120,35,0,1,0
URS0000BE12ED,3104,ribovision,1641,2993,820,1658,3025,3137,912,14,1,1
URS0000BE17D0,3085,ribovision,1730,3044,831,1780,3097,3137,912,14,1,1
URS0000BE523B,3115,ribovision,1,3111,847,1,3134,3137,912,20,1,1
URS0000BE578B,3021,ribovision,1860,3019,809,1761,2889,2911,868,7,1,1
URS0000BEA76E,3088,ribovision,1742,3050,829,1789,3099,3137,912,14,1,1
URS0000BEBBFE,134,rfam,2,132,33,2,128,130,38,0,1,1
URS0000BEBF1F,3109,ribovision,5,3059,834,2,3074,3120,899,13,1,1
URS0000BF19FF,2881,ribovision,1,2879,796,1,2902,2904,860,9,1,1
URS0000BF4598,2756,ribovision,9,2750,707,9,2917,2921,776,2,1,1
URS0000BF639E,130,rfam,3,128,35,3,128,130,38,0,1,1
URS0000BF68CF,3108,ribovision,1290,2998,826,1286,3015,3120,899,15,1,1
URS0000BF6A0D,107,rfam,3,104,3,3,104,107,8,1,1,0
URS0000BF7EF5,3008,ribovision,1838,3006,798,1747,2889,2911,868,11,1,1
URS0000BF8659,119,crw,3,118,33,3,118,120,35,0,1,0
URS0000BFA788,3121,ribovision,5,3071,833,2,3074,3120,899,15,1,1
URS0000BFBF8C,3121,ribovision,5,3114,885,2,3117,3120,899,13,1,1
URS0000BFDAA7,3139,ribovision,5,3134,892,2,3119,3120,899,13,1,1
URS0000C00935,2897,ribovision,6,2888,760,5,2913,2921,776,6,1,1
URS0000C01358,2996,ribovision,454,2874,725,418,2813,2925,772,3,1,1
URS0000C04E8A,3035,ribovision,2,3031,870,2,3134,3137,912,20,1,1
URS0000C06CB6,2514,ribovision,15,2514,628,14,2642,2925,772,0,1,1
URS0000C0B3D3,97,crw,15,88,23,40,113,120,35,0,1,0
URS0000C0CBD6,3142,ribovision,1769,3135,841,1786,3131,3137,912,14,1,1
URS0000C0F8E2,85,rfam,2,85,15,2,85,85,15,0,1,0
URS0000C104A8,2969,ribovision,484,2918,733,453,2877,2925,772,5,1,1
URS0000C11EA0,3025,ribovision,4,3022,839,2,3047,3048,847,14,1,1
URS0000C16A8D,119,crw,2,119,32,2,119,120,32,0,1,0
URS0000C19056,1068,ribovision,20,1068,222,564,1600,1869,470,2,0,1
URS0000C1BF95,2929,ribovision,1684,2658,781,1673,2651,2922,891,15,1,1
URS0000C1E04D,2917,ribovision,6,2911,802,2,2919,2922,891,12,1,1
URS0000C1EF49,2826,ribovision,1575,2728,706,1641,2814,2921,776,12,1,1
URS0000C20850,2933,ribovision,1685,2801,787,1755,2872,3048,847,16,1,1
URS0000C21081,2990,ribovision,1856,2847,785,1885,2872,3048,847,16,1,1
URS0000C21905,3362,ribovision,2,3343,988,163,3538,3554,1065,24,1,1
URS0000C25459,3017,ribovision,1757,2214,793,1756,2216,3048,847,10,1,1
URS0000C25E9A,162,rfam,2,162,47,2,162,162,47,0,1,1
URS0000C2C874,3317,ribovision,643,3315,773,850,3549,3551,1009,27,1,1
URS0000C2DCE4,3370,ribovision,637,1972,852,785,2132,3506,993,43,1,1
URS0000C2DF4C,3089,ribovision,11,3081,838,8,3043,3048,847,16,1,1
URS0000C318BE,120,crw,19,111,22,19,111,120,22,0,1,0
URS0000C322F8,1945,ribovision,1,1441,399,1614,3048,3551,1009,8,0,1
URS0000C34055,2921,ribovision,7,2912,889,3,2915,2922,891,12,1,1
URS0000C34C00,3092,ribovision,2,3088,895,2,3134,3137,912,19,1,1
URS0000C3D128,2922,ribovision,7,2905,809,3,2907,2922,891,12,1,1
URS0000C3D528,2943,ribovision,1688,2139,778,1753,2206,3048,847,16,1,0
URS0000C40C9C,46,rfam,5,42,13,5,42,46,14,0,1,1
URS0000C41875,2968,ribovision,718,2821,799,762,2872,3048,847,14,1,1
URS0000C44506,2925,ribovision,17,2919,882,13,2920,2922,891,12,1,1
URS0000C4482A,3127,ribovision,5,3121,887,2,3119,3120,899,13,1,1
URS0000C47032,2908,ribovision,2251,2775,753,2347,2872,3048,847,14,1,1
URS0000C4933A,1954,ribovision,6,1952,454,6,1930,2921,776,8,0,1
URS0000C49C84,2975,ribovision,1682,2860,730,1643,2816,2921,776,17,1,1
URS0000C4AC87,2910,ribovision,9,2903,802,4,2919,2922,891,12,1,1
URS0000C4BBC3,2911,ribovision,17,2800,796,15,2898,3048,847,12,1,1
URS0000C4D88F,117,crw,3,114,30,5,116,121,32,0,1,0
URS0000C4DE85,2919,ribovision,7,2913,805,3,2919,2922,891,12,1,1
URS0000C528A5,3079,ribovision,13,3072,836,12,3043,3048,847,14,1,1
URS0000C53A73,944,ribovision,5,793,218,2536,3286,3506,993,0,0,0
URS0000C55BE4,3116,ribovision,3,3104,843,3,3126,3137,912,13,1,1
URS0000C5644E,119,crw,1,117,32,1,117,120,35,0,1,0
URS0000C56C94,1461,ribovision,501,1358,351,1890,2759,2876,781,0,1,1
URS0000C570BE,51,rfam,12,42,13,9,40,46,14,0,1,1
URS0000C57904,2924,ribovision,7,2907,809,3,2907,2922,891,12,1,1
URS0000C5A92C,148,rfam,1,50,0,3,52,52,19,0,1,1
URS0000C5CC3C,3005,ribovision,2325,2801,788,2334,2810,3048,847,18,1,0
URS0000C5D926,1569,ribovision,5,1527,370,2,1524,3120,899,11,0,1
URS0000C601A3,1871,ribovision,8,1864,482,7,1873,3048,847,10,1,1
URS0000C62271,2913,ribovision,1665,2836,795,1671,2849,2922,891,14,1,1
URS0000C62C89,3110,ribovision,17,2976,827,16,2902,3048,847,16,1,1
URS0000C64F2C,326,ribovision,2,183,54,1778,1939,2911,868,0,0,0
URS0000C66E33,2967,ribovision,1,1890,805,1,1854,2904,860,7,1,1
URS0000C6AC89,1021,ribovision,247,809,210,4309,4872,5227,1553,4,0,0
URS0000C6D694,2907,ribovision,1661,2783,789,1671,2801,2922,891,13,1,1
URS0000C6E670,120,crw,21,111,22,21,111,120,22,0,1,0
URS0000C6E959,119,crw,3,116,35,3,116,120,35,0,1,0
URS0000C721C7,291,rfam,1,290,56,1,296,297,68,1,1,1
URS0000C73ACF,3057,ribovision,4,2859,839,2,2882,3048,847,14,1,1
URS0000C74CF1,120,ribovision,1,114,13,1,114,4123,1087,0,0,0
URS0000C74DAB,3059,ribovision,1581,2937,834,1642,3002,3120,899,13,1,1
URS0000C76178,3117,ribovision,3,3117,845,3,3137,3137,912,20,1,1
URS0000C77123,2899,ribovision,6,2891,754,5,2915,2921,776,6,1,1
URS0000C788BA,114,rfam,4,107,21,4,107,116,30,0,1,0
URS0000C78DFF,2929,ribovision,13,1802,732,10,1717,2921,776,8,1,1
URS0000C791ED,78,rfam,19,75,4,19,73,76,4,0,1,1
URS0000C799FE,119,crw,9,115,32,8,118,121,35,0,1,0
URS0000C7A3EF,1981,ribovision,3,1808,534,1480,3300,3554,1065,15,1,1
URS0000C7ADA8,1543,ribovision,16,1509,377,13,1536,3120,899,11,1,1
URS0000C7C664,2924,ribovision,13,2908,879,9,2911,2922,891,14,1,1
URS0000C7C80B,3923,ribovision,3036,3596,801,4312,4869,5227,1553,25,1,0
URS0000C8474F,2887,ribovision,172,2881,801,175,2898,2904,860,7,1,1
URS0000C85AF7,2463,ribovision,5,2462,691,2,2507,3120,899,11,1,1
URS0000C860B3,119,crw,3,117,35,3,117,120,35,0,1,0
URS0000C8622B,3383,ribovision,2,3383,889,163,3551,3551,1009,22,1,1
URS0000C89287,2821,ribovision,1570,2723,691,1641,2814,2921,776,12,1,1
URS0000C8A186,3122,ribovision,3,3120,844,3,3136,3137,912,20,1,1
URS0000C8FE08,2762,ribovision,924,2761,818,1035,2881,2922,891,12,1,1
URS0000C90153,727,ribovision,2,433,153,236,683,5227,1553,2,0,0
URS0000C912DA,734,ribovision,2,439,170,236,686,5227,1553,2,0,0
URS0000C91409,2895,ribovision,1,2894,878,5,2905,2922,891,12,1,1
URS0000C93413,3154,ribovision,27,3150,893,2,3119,3120,899,13,1,1
URS0000C99948,111,ribovision,1,109,16,2809,2917,3048,847,2,0,0
URS0000C9A1CA,1458,ribovision,1,1458,358,1128,2592,2925,772,0,1,1
URS0000C9AA04,3109,ribovision,6,3104,889,2,3119,3120,899,13,1,1
URS0000C9ACAF,85,ribovision,2,71,11,2854,2923,2925,772,0,0,0
URS0000C9BD74,2969,ribovision,9,2967,742,25,2911,2925,772,5,1,1
URS0000CA5DFE,132,ribovision,4,109,22,2815,2924,2925,772,0,0,0
URS0000CA7401,527,ribovision,1,258,96,495,773,4123,1087,10,0,0
URS0000CA7DD9,354,ribovision,6,90,30,72,157,3555,1065,0,0,0
URS0000CAA655,3102,ribovision,26,3090,875,2,3117,3120,899,11,1,1
URS0000CAA663,161,ribovision,2,152,34,8,158,3555,1065,0,0,0
URS0000CAC2A1,3989,ribovision,2,2165,571,1388,3551,3551,1009,9,1,1
URS0000CADCB7,299,ribovision,2,203,57,2190,2392,2904,860,0,0,0
URS0000CAEEA0,353,ribovision,150,351,33,3,213,2925,772,0,0,0
URS0000CAF5E6,2921,ribovision,12,2913,755,10,2916,2921,776,12,1,1
URS0000CAFB48,2803,ribovision,2,2753,743,49,2895,3048,847,16,1,1
URS0000CB0726,2888,ribovision,8,2872,750,7,2915,2925,772,4,1,1
URS0000CB08CC,2916,ribovision,9,2897,856,2,2902,2904,860,5,1,1
URS0000CB19A4,164,ribovision,3,163,21,1,160,3551,1009,0,0,0
URS0000CB4058,3114,ribovision,10,3110,881,6,3133,3137,912,14,1,1
URS0000CB5480,3124,ribovision,7,3117,887,2,3117,3120,899,13,1,1
URS0000CB7417,161,ribovision,4,160,21,2,157,3551,1009,0,0,0
URS0000CB7CBC,578,ribovision,1,578,165,397,973,1542,507,0,0,0
URS0000CB9BB1,3178,ribovision,28,3172,898,3,3119,3120,899,19,1,1
URS0000CBA210,2819,ribovision,8,2768,723,7,2795,2925,772,5,1,1
URS0000CBCDBF,3178,ribovision,28,3172,899,3,3119,3120,899,19,1,1
URS0000CBD9BD,3109,ribovision,7,3101,890,2,3117,3120,899,11,1,1
URS0000CBED16,3111,ribovision,2,3107,897,4,3134,3137,912,19,1,1
URS0000CBFC57,2918,ribovision,2,2913,768,1,2924,2925,772,3,1,1
URS0000CBFDDC,109,ribovision,2,84,16,2841,2923,2925,772,0,0,0
URS0000CC414D,301,rfam,6,295,114,8,294,301,120,6,1,1
URS0000CC47DA,219,rfam,2,217,63,2,217,218,63,0,1,1
URS0000CC7AB2,124,crw,2,89,14,2,89,120,35,0,1,0
URS0000CC961C,1741,rfam,1533,1628,23,4,94,95,34,0,0,0
URS0000CCDB12,341,rfam,1,259,79,1,270,330,87,3,1,1
URS0000CD12E1,714,ribovision,1,714,136,211,937,4123,1087,13,0,0
URS0000CD1C08,2682,ribovision,1,2681,722,212,3031,3551,1009,18,1,1
URS0000CD3F4F,162,ribovision,4,152,30,6,156,3506,993,0,0,0
URS0000CD52E6,789,ribovision,62,788,177,1105,1804,5227,1553,12,0,0
URS0000CD7D91,275,ribovision,1,264,58,341,626,1542,507,0,0,0
URS0000CD85B7,213,ribovision,2,213,45,1622,1833,3137,912,0,1,0
URS0000CD9E29,1462,ribovision,3,1461,378,1464,2922,2925,772,0,1,1
URS0000CDE27D,723,ribovision,335,488,35,3,155,5227,1553,0,0,0
URS0000CE0006,4882,ribovision,213,3602,941,157,3550,3551,1009,24,1,1
URS0000CE26EE,2447,ribovision,1,2436,718,444,2902,2904,860,2,1,1
URS0000CE39CD,175,ribovision,3,159,32,5,161,5227,1553,0,0,0
URS0000CE55C5,1237,ribovision,227,1135,220,642,1451,4123,1087,19,0,0
URS0000CE6DBB,171,ribovision,1,141,31,14,154,5227,1553,0,0,0
URS0000CE989E,2046,ribovision,1943,2046,7,1,104,1808,459,0,0,0
URS0000CEE993,2916,ribovision,9,2897,854,2,2902,2904,860,5,1,1
URS0000CF1DF4,177,ribovision,3,160,35,5,161,5227,1553,0,0,0
URS0000CF2DA6,538,ribovision,398,528,19,4,134,3137,912,1,0,0
URS0000CF7A66,6041,rfam,3334,3438,3,2,106,107,8,0,0,0
URS0000CF8DC3,349,ribovision,3,349,92,20,347,1542,507,0,0,0
URS0000D0106B,2683,ribovision,1,2682,723,212,3031,3551,1009,18,1,1
URS0000D04D6C,688,ribovision,9,153,68,1015,1155,2925,772,4,0,0
URS0000D07300,2899,ribovision,4,2849,772,22,2896,3048,847,14,1,1
URS0000D09B8F,6861,rfam,1712,1492,1,1,221,221,18,0,0,0
URS0000D0C3FC,352,rfam,349,49,11,2,304,305,123,2,0,0
URS0000D0CEB3,568,ribovision,6,555,115,888,1440,1559,373,1,0,0
URS0000D0D733,2785,ribovision,6,2780,719,137,2924,2925,772,3,1,1
URS0000D0DBCA,176,ribovision,3,155,33,5,156,5227,1553,0,0,0
URS0000D13A3B,1461,ribovision,10,1437,343,13,1445,2925,772,3,1,1
URS0000D155FF,555,ribovision,43,538,118,100,600,3555,1065,15,0,0
URS0000D18832,2903,ribovision,2,2903,857,4,2904,2904,860,1,1,1
URS0000D1A39A,769,ribovision,113,768,211,1154,1804,5227,1553,4,0,0
URS0000D1BF53,164,ribovision,3,162,21,1,159,3551,1009,0,0,0
URS0000D1C08B,112,crw,4,111,24,6,117,118,26,0,1,0
URS0000D1EB3A,3149,ribovision,5,3139,894,2,3119,3120,899,13,1,1
URS0000D26A77,677,ribovision,111,676,107,1288,1766,5227,1553,6,0,0
URS0000D276D5,2855,ribovision,2,2854,856,19,2884,2922,891,12,1,1
URS0000D2838D,3207,ribovision,2,3192,920,162,3311,3554,1065,23,1,1
URS0000D2D785,89,ribovision,2,76,17,2828,2902,2904,860,0,0,0
URS0000D3259C,2924,ribovision,1,2904,860,1,2904,2904,860,3,1,1
URS0000D36AC7,126,ribovision,8,106,26,2806,2904,2904,860,0,0,0
URS0000D3B395,3396,ribovision,2,3395,974,162,3536,3554,1065,31,1,1
URS0000D3FC39,7157,rfam,5057,5272,1,9,221,221,18,0,0,0
URS0000D410D6,573,ribovision,22,572,116,863,1421,1559,373,1,0,0
URS0000D44784,576,ribovision,193,354,44,2,162,3551,1009,1,0,0
URS0000D48FF3,7283,rfam,6343,6552,1,2,220,221,18,0,0,0
URS0000D4A7A9,149,ribovision,26,149,18,2,125,3120,899,1,0,0
URS0000D4B455,2882,ribovision,1,2880,854,1,2902,2904,860,3,1,1
URS0000D4C24A,2785,ribovision,6,2780,719,137,2924,2925,772,3,1,1
URS0000D4DD0F,2770,ribovision,3,1916,829,17,1936,2922,891,18,1,1
URS0000D4ECF7,554,ribovision,416,544,26,3,131,3120,899,0,0,0
URS0000D67EB2,47,rfam,3,46,12,3,47,48,12,0,1,1
URS0000D68B31,44,rfam,2,44,9,2,51,51,11,0,1,1
URS0000D6CEB6,65,rfam,2,62,17,2,67,70,17,0,1,1
URS0000D70352,106,rfam,10,106,5,7,104,104,5,0,1,0
URS0000D75193,155,ribovision,1,155,21,4,158,3551,1009,0,0,0
URS0000D756F0,1491,ribovision,2,1072,334,1649,2746,2904,860,5,1,0
URS0000D7791D,2875,ribovision,1,2875,810,5,2885,2911,868,4,1,1
URS0000D779CB,149,ribovision,2,147,20,5,156,3551,1009,0,0,0
URS0000D77A0F,154,ribovision,1,154,21,4,158,3551,1009,0,0,0
URS0000D77F4F,3042,ribovision,2,3041,844,5,2886,2911,868,8,1,1
URS0000D78355,1461,ribovision,2,1460,358,2,1460,2925,772,3,1,1
URS0000D7A321,2408,ribovision,1,2406,624,162,2585,3551,1009,17,1,1
URS0000D7A789,2920,ribovision,7,2902,812,3,2906,2922,891,12,1,1
URS0000D7B0A8,2878,ribovision,1,2876,855,1,2889,2911,868,4,1,1
URS0000D7B4E4,1060,ribovision,765,1048,117,2614,2916,2925,772,2,0,0
URS0000D7CD5A,119,crw,2,117,32,2,117,120,32,0,1,0
URS0000D7D0C4,3102,ribovision,2,3098,895,2,3134,3137,912,19,1,1
URS0000D7E337,91,rfam,2,90,3,2,90,91,3,0,1,0
URS0000D7EEFD,3108,ribovision,2,3104,900,2,3134,3137,912,19,1,1
URS0000D7EF00,3388,ribovision,1,3388,905,162,3551,3551,1009,24,1,1
URS0000D7F459,85,rfam,1,85,14,15,102,167,42,2,0,0
URS0000D7FAC1,2888,ribovision,1,2886,854,1,2902,2904,860,3,1,1
URS0000D7FD93,3366,ribovision,1,3366,892,162,3551,3551,1009,25,1,1
URS0000D81EA8,3390,ribovision,1,3390,907,162,3551,3551,1009,24,1,1
URS0000D82E2E,155,ribovision,4,154,21,7,157,3551,1009,0,0,0
URS0000D88327,2871,ribovision,11,2865,749,10,2917,2921,776,12,1,1
URS0000D8A761,2926,ribovision,7,2914,879,3,2912,2922,891,12,1,1
URS0000D8AF5F,3404,ribovision,9,3400,900,164,3502,3506,993,32,1,1
URS0000D8BD77,3393,ribovision,2,3393,951,163,3551,3551,1009,24,1,1
URS0000D8CCC6,2915,ribovision,1,2912,734,1,2925,2925,772,3,1,1
URS0000D8D25A,3120,ribovision,5,3113,887,2,3117,3120,899,11,1,1
URS0000D8E6C5,2885,ribovision,1,2883,800,1,2902,2904,860,9,1,1
URS0000D8F0F9,3195,ribovision,1,1934,790,162,2097,3551,1009,22,1,1
URS0000D8F361,2917,ribovision,7,2911,811,3,2919,2922,891,13,1,1
URS0000D8F6C8,3015,ribovision,25,2887,811,25,2897,3048,847,14,1,1
URS0000D90863,2880,ribovision,11,2874,750,10,2917,2921,776,4,1,1
URS0000D92C8C,3100,ribovision,3,3096,895,3,3134,3137,912,19,1,1
URS0000D936A2,2821,ribovision,1,2818,728,102,2920,2921,776,4,1,1
URS0000D94B46,2918,ribovision,2,2914,761,2,2924,2925,772,5,1,1
URS0000D9572E,3388,ribovision,1,3388,907,162,3551,3551,1009,25,1,1
URS0000D962D2,3051,ribovision,25,2999,817,24,2997,3048,847,26,1,1
URS0000D97F8E,2728,ribovision,1,2728,737,810,3551,3551,1009,12,1,1
URS0000D9810E,966,ribovision,636,956,110,2620,2913,2921,776,3,0,0
URS0000D98E91,3228,ribovision,3047,3129,809,1726,1808,3551,1009,17,0,0
URS0000D9D4CC,2222,ribovision,90,1971,503,1596,3551,3551,1009,8,1,1
URS0000D9E6DC,47,rfam,1,38,13,1,38,46,13,0,1,1
URS0000D9F9E5,2877,ribovision,1,2875,854,1,2889,2911,868,4,1,1
URS0000DA00F7,234,ribovision,3,197,53,1782,1960,2911,868,0,0,0
URS0000DA0327,2906,ribovision,186,1523,794,766,2112,3554,1065,26,1,1
URS0000DA037F,2395,ribovision,4,2231,644,165,2430,3555,1065,19,0,1
URS0000DA09E9,1770,ribovision,1,1770,470,500,2246,3551,1009,10,0,1
URS0000DA0D07,3109,ribovision,5,3067,831,2,3082,3120,899,13,1,1
URS0000DA0F92,147,ribovision,2,124,19,2,124,4123,1087,0,0,0
URS0000DA1052,2924,ribovision,1,2921,775,1,2920,2921,776,4,1,1
URS0000DA35F6,2732,ribovision,2,2126,623,305,2429,3551,1009,10,0,1
URS0000DA3AF2,1914,ribovision,4,1454,393,1643,3092,3551,1009,3,1,1
URS0000DA3E3A,3387,ribovision,1,3387,898,162,3551,3551,1009,24,1,1
URS0000DA4C4D,2856,ribovision,21,2817,757,20,2884,3048,847,19,1,1
URS0000DA4FE7,2877,ribovision,1,2875,854,1,2889,2911,868,4,1,1
URS0000DA5FDE,3087,ribovision,3,3087,838,3,3137,3137,912,13,1,1
URS0000DA7CE7,3028,ribovision,433,2876,810,434,2872,3048,847,16,1,1
URS0000DA930D,2865,ribovision,806,2836,739,1058,3077,5227,1553,15,1,1
URS0000DA9353,1040,ribovision,17,679,170,2264,2923,3551,1009,1,0,0
URS0000DAA82B,89,rfam,1,88,23,1,88,89,24,0,1,0
URS0000DAAB0A,3396,ribovision,1,3396,902,162,3551,3551,1009,24,1,1
URS0000DAC990,3129,ribovision,5,3124,889,2,3119,3120,899,13,1,1
URS0000DAD337,220,rfam,33,207,43,30,178,190,43,2,1,1
URS0000DADC20,3048,ribovision,11,3038,836,8,3040,3048,847,16,1,1
URS0000DAFC58,3030,ribovision,3,3022,842,2,3042,3048,847,14,1,1
URS0000DB009B,2874,ribovision,1619,2776,716,1640,2816,2925,772,3,1,1
URS0000DB02AE,364,ribovision,199,362,32,1035,1194,3506,993,0,0,0
URS0000DB0355,3105,ribovision,1639,2994,825,1658,3025,3137,912,14,1,1
URS0000DB2528,320,rfam,2,249,69,2,248,330,87,2,1,1
URS0000DB2624,2929,ribovision,1,2924,731,1,2923,2925,772,3,1,1
URS0000DB285B,3087,ribovision,3,3087,838,3,3137,3137,912,13,1,1
URS0000DB2EEC,3029,ribovision,9,3021,842,8,3042,3048,847,14,1,1
URS0000DB3EF6,683,ribovision,497,680,70,2684,2878,4123,1087,1,0,0
URS0000DB649D,3122,ribovision,2,3109,861,163,3312,3551,1009,19,1,1
URS0000DB75F4,217,rfam,2,215,62,2,217,218,63,0,1,1
URS0000DB850D,96,crw,2,96,26,15,109,120,35,0,1,0
URS0000DB955B,119,crw,1,119,35,1,119,120,35,0,1,0
URS0000DBA0F9,161,ribovision,1,85,5,2,87,5227,1553,0,0,0
URS0000DBAA0F,149,ribovision,2,137,20,3,137,5227,1553,0,0,0
URS0000DBB025,216,rfam,2,214,63,2,217,218,63,0,1,1
URS0000DBB3EE,107,crw,2,95,21,2,94,120,35,0,0,0
URS0000DBC2BB,2879,ribovision,3,2877,845,5,2902,2904,860,2,1,1
URS0000DBD3DE,1997,ribovision,4,1991,531,21,2121,3048,847,10,1,1
URS0000DBD910,1558,ribovision,2,1551,365,2,1534,1559,373,4,1,1
URS0000DBD98E,1706,ribovision,67,1700,350,43,1554,1559,373,4,1,1
URS0000DBEB34,784,ribovision,2,753,199,199,989,5227,1553,6,0,0
URS0000DBFCFD,4970,ribovision,2150,4969,1425,2396,5226,5227,1553,27,1,1
URS0000DC05CD,2921,ribovision,2,2918,776,4,2920,2921,776,4,1,1
URS0000DC1BE1,163,ribovision,85,163,4,1,79,3551,1009,0,0,0
URS0000DC1FE4,2920,ribovision,2,2917,776,4,2920,2921,776,4,1,1
URS0000DC2F41,1560,ribovision,1,1560,373,1,1559,1559,373,4,1,1
URS0000DC3CF5,173,ribovision,2,155,31,3,155,5227,1553,0,0,0
URS0000DC3FE4,2896,ribovision,2,2892,763,4,2924,2925,772,3,1,1
URS0000DC46BA,2889,ribovision,1,2887,858,1,2895,2911,868,4,1,1
URS0000DC4AE0,2872,ribovision,2,2871,691,19,2866,2922,891,27,1,1
URS0000DC4B90,2904,ribovision,2,2904,857,4,2904,2904,860,1,1,1
URS0000DC5587,2920,ribovision,2,2917,776,4,2920,2921,776,4,1,1
URS0000DC684A,2895,ribovision,6,2836,787,14,2897,3048,847,14,1,1
URS0000DC7A17,2931,ribovision,13,2931,800,7,2843,3120,899,19,1,1
URS0000DC815D,1460,ribovision,1,1456,373,1459,2924,2925,772,0,1,1
URS0000DC820A,2910,ribovision,2,2901,883,9,2916,2922,891,12,1,1
URS0000DCAC90,3113,ribovision,2,3109,899,4,3134,3137,912,21,1,1
